game_id,tag
22,Multiplayer
22,Party Game
22,Family Friendly
22,Battle Royale
22,Massively Multiplayer
22,Platformer
22,Cute
22,Funny
22,PvP
22,3D Platformer
22,Controller
22,Casual
22,Colorful
22,Action
22,Online Co Op
22,Co op
22,Comedy
22,Physics
22,Indie
22,Difficult
23,Open World Survival Craft
23,Survival
23,Online Co Op
23,Open World
23,Multiplayer
23,Building
23,Crafting
23,Exploration
23,Base Building
23,Co op
23,Sandbox
23,Adventure
23,Mythology
23,RPG
23,Early Access
23,Action
23,PvE
23,Indie
23,Singleplayer
23,Third Person
24,Football (Soccer)
24,Multiplayer
24,Competitive
24,Sports
24,Racing
24,Football (American)
24,Team Based
24,Online Co Op
24,Fast Paced
24,Co op
24,Action
24,Funny
24,Great Soundtrack
24,Local Multiplayer
24,Split Screen
24,Local Co Op
24,Singleplayer
24,4 Player Local
24,Casual
24,Indie
25,Survival
25,Zombies
25,Multiplayer
25,Open World
25,Action
25,PvP
25,Shooter
25,Massively Multiplayer
25,Horror
25,Post apocalyptic
25,Simulation
25,FPS
25,Early Access
25,First Person
25,Survival Horror
25,Sandbox
25,Adventure
25,Co op
25,Atmospheric
25,Indie
26,Platformer
26,Puzzle
26,Dark Humor
26,First Person
26,Story Rich
26,Puzzle Platformer
26,Funny
26,Female Protagonist
26,3D Platformer
26,Action Adventure
26,Action
26,FPS
26,Co op
26,Physics
26,Sci fi
26,Level Editor
26,Science
26,Comedy
26,Atmospheric
26,Adventure
27,Zombies
27,Survival Horror
27,Horror
27,Online Co Op
27,Open World
27,Parkour
27,First Person
27,Survival
27,Open World Survival Craft
27,Gore
27,FPS
27,Action
27,PvE
27,PvP
27,Stealth
27,Post apocalyptic
27,Story Rich
27,Hack and Slash
27,Action RPG
27,RPG
28,Survival
28,Open World Survival Craft
28,Multiplayer
28,Co op
28,Open World
28,Adventure
28,Crafting
28,Online Co Op
28,Sandbox
28,Difficult
28,Indie
28,2D
28,Atmospheric
28,Funny
28,Survival Horror
28,Strategy
28,Horror
28,Singleplayer
28,Action
28,Roguelike
29,Metroidvania
29,Souls like
29,Platformer
29,Great Soundtrack
29,Difficult
29,2D
29,Indie
29,Atmospheric
29,Singleplayer
29,Exploration
29,Adventure
29,Story Rich
29,Hand drawn
29,Action
29,Multiple Endings
29,Dark Fantasy
29,Open World
29,Cute
29,Controller
29,Side Scroller
30,Multiplayer
30,Adventure
30,Open World
30,Pirates
30,Co op
30,Online Co Op
30,Action
30,PvP
30,Sailing
30,First Person
30,Exploration
30,Naval
30,Funny
30,PvE
30,Massively Multiplayer
30,Atmospheric
30,FPS
30,Swordplay
30,Great Soundtrack
30,Singleplayer
31,Survival
31,Open World Survival Craft
31,Multiplayer
31,Co op
31,Crafting
31,Open World
31,Building
31,Base Building
31,Online Co Op
31,Adventure
31,Sandbox
31,First Person
31,Singleplayer
31,Early Access
31,Underwater
31,Simulation
31,Action
31,Indie
31,Strategy
31,Massively Multiplayer
32,Tower Defense
32,Strategy
32,Multiplayer
32,Singleplayer
32,Co op
32,Online Co Op
32,Family Friendly
32,Casual
32,3D
32,Cartoony
32,Sandbox
32,Great Soundtrack
32,Difficult
32,Funny
32,Cute
32,Survival
32,Action
32,Indie
32,2D
32,Adventure
33,Co op
33,Multiplayer
33,Action
33,Open World
33,RPG
33,Third Person
33,Character Customization
33,Adventure
33,Fantasy
33,Difficult
33,Singleplayer
33,Action RPG
33,Exploration
33,Great Soundtrack
33,Replay Value
33,Atmospheric
33,Hack and Slash
33,JRPG
33,Souls like
33,MMORPG
34,FPS
34,Multiplayer
34,Action
34,Shooter
34,Singleplayer
34,Military
34,First Person
34,War
34,Modern
34,Tactical
34,Violent
34,Co op
34,Realistic
34,Story Rich
34,Atmospheric
34,Mature
34,Online Co Op
34,Gore
34,Third Person Shooter
34,Third Person
35,Difficult
35,Music
35,Great Soundtrack
35,Precision Platformer
35,Level Editor
35,Rhythm
35,2D
35,Colorful
35,Singleplayer
35,Platformer
35,Character Customization
35,Arcade
35,Indie
35,Side Scroller
35,Action
35,Funny
35,Family Friendly
35,Casual
35,Strategy
35,Adventure
36,Souls like
36,Dark Fantasy
36,Difficult
36,RPG
36,Atmospheric
36,Lore Rich
36,Third Person
36,Exploration
36,Story Rich
36,Action RPG
36,Co op
36,Great Soundtrack
36,Adventure
36,Action
36,PvP
36,Multiplayer
36,Open World
36,Singleplayer
36,Character Customization
36,Replay Value
37,Action Roguelike
37,Roguelike
37,Indie
37,Replay Value
37,Difficult
37,Pixel Graphics
37,Dungeon Crawler
37,Great Soundtrack
37,Singleplayer
37,Dark
37,2D
37,Remake
37,Local Co Op
37,Gore
37,Procedural Generation
37,Roguelite
37,Atmospheric
37,Action
37,Co op
37,Horror
38,Massively Multiplayer
38,Open World
38,MMORPG
38,RPG
38,Adventure
38,Action
38,PvP
38,PvE
38,Multiplayer
38,Walking Simulator
38,Fantasy
38,Character Customization
38,Crafting
38,Third Person
38,Co op
38,Open World Survival Craft
38,Sandbox
38,Violent
38,Sexual Content
38,Singleplayer
39,Open World Survival Craft
39,Survival
39,Open World
39,Horror
39,Exploration
39,Underwater
39,Crafting
39,Base Building
39,Singleplayer
39,Adventure
39,First Person
39,Sci fi
39,Sandbox
39,Aliens
39,Atmospheric
39,Survival Horror
39,Multiplayer
39,Action
39,Indie
39,Early Access
